,Team,Match Up,Game Date,W/L,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
1391,MIA,MIA @ DEN,12/30/2022,L,119,39,87,44.8,14,35,40.0,27,30,90.0,11,25,36,21,13,4,15,19,-5
1392,PHI,PHI @ NOP,12/30/2022,L,116,42,75,56.0,14,34,41.2,18,22,81.8,3,26,29,28,5,7,19,22,-11
1393,MIL,MIL vs. MIN,12/30/2022,W,123,43,93,46.2,14,39,35.9,23,33,69.7,20,48,68,25,5,8,21,25,9
1394,MIN,MIN @ MIL,12/30/2022,L,114,40,92,43.5,8,30,26.7,26,34,76.5,7,29,36,18,10,5,8,28,-9
1395,SAC,SAC vs. UTA,12/30/2022,W,126,50,90,55.6,12,30,40.0,14,19,73.7,10,28,38,32,5,3,15,21,1
1396,UTA,UTA @ SAC,12/30/2022,L,125,46,84,54.8,8,32,25.0,25,30,83.3,7,30,37,30,7,2,13,20,-1
1397,GSW,GSW vs. POR,12/30/2022,W,118,42,91,46.2,17,43,39.5,17,21,81.0,17,29,46,29,9,2,13,22,6
1398,POR,POR @ GSW,12/30/2022,L,112,42,91,46.2,12,39,30.8,16,23,69.6,17,32,49,22,2,4,16,20,-6
1399,PHX,PHX @ TOR,12/30/2022,L,104,35,71,49.3,14,30,46.7,20,23,87.0,9,33,42,26,7,1,27,17,-9
1400,TOR,TOR vs. PHX,12/30/2022,W,113,40,81,49.4,11,33,33.3,22,26,84.6,8,23,31,20,15,3,12,22,9
1401,DEN,DEN vs. MIA,12/30/2022,W,124,45,76,59.2,17,28,60.7,17,22,77.3,5,31,36,34,6,1,20,19,5
1402,WAS,WAS @ ORL,12/30/2022,W,119,42,75,56.0,15,35,42.9,20,25,80.0,4,49,53,33,4,10,26,18,19
1403,LAL,LAL @ ATL,12/30/2022,W,130,52,96,54.2,10,32,31.3,16,18,88.9,12,43,55,34,7,6,16,17,9
1404,OKC,OKC @ CHA,12/29/2022,L,113,42,99,42.4,11,36,30.6,18,21,85.7,11,30,41,15,9,1,12,27,-8
1405,BOS,BOS vs. LAC,12/29/2022,W,116,44,91,48.4,11,39,28.2,17,22,77.3,11,38,49,22,3,7,12,17,6
1406,LAC,LAC @ BOS,12/29/2022,L,110,43,89,48.3,15,39,38.5,9,14,64.3,8,33,41,26,4,4,13,20,-6
1407,MEM,MEM @ TOR,12/29/2022,W,119,48,95,50.5,13,29,44.8,10,14,71.4,17,36,53,37,4,4,16,20,13
1408,TOR,TOR vs. MEM,12/29/2022,L,106,39,96,40.6,10,28,35.7,18,24,75.0,17,30,47,21,11,7,8,20,-13
1409,DAL,DAL vs. HOU,12/29/2022,W,129,47,91,51.6,18,45,40.0,17,25,68.0,6,38,44,30,7,8,9,26,15
1410,HOU,HOU @ DAL,12/29/2022,L,114,38,86,44.2,12,34,35.3,26,37,70.3,12,36,48,21,5,0,13,23,-15
1411,CHA,CHA vs. OKC,12/29/2022,W,121,46,84,54.8,10,32,31.3,19,29,65.5,12,40,52,33,8,11,18,17,8
1412,SAS,SAS vs. NYK,12/29/2022,W,122,45,88,51.1,11,28,39.3,21,29,72.4,14,34,48,25,5,7,13,23,7
1413,NYK,NYK @ SAS,12/29/2022,L,115,38,90,42.2,15,41,36.6,24,31,77.4,13,25,38,20,7,2,13,21,-7
1414,IND,IND vs. CLE,12/29/2022,W,135,48,85,56.5,19,31,61.3,20,21,95.2,4,28,32,28,6,8,9,18,9
1415,CLE,CLE @ IND,12/29/2022,L,126,50,96,52.1,12,28,42.9,14,20,70.0,17,27,44,29,7,4,11,17,-9
1416,NOP,NOP vs. MIN,12/28/2022,W,119,39,81,48.1,11,23,47.8,30,43,69.8,9,34,43,22,6,4,15,24,1
1417,ORL,ORL @ DET,12/28/2022,L,101,35,85,41.2,5,22,22.7,26,34,76.5,15,32,47,24,5,5,13,26,-20
1418,DET,DET vs. ORL,12/28/2022,W,121,36,80,45.0,18,42,42.9,31,40,77.5,11,38,49,25,7,4,13,25,20
1419,MIN,MIN @ NOP,12/28/2022,L,118,42,83,50.6,10,29,34.5,24,32,75.0,5,30,35,18,6,8,11,28,-1
1420,MIA,MIA vs. LAL,12/28/2022,W,112,44,92,47.8,11,35,31.4,13,16,81.3,10,27,37,20,14,4,6,15,14
1421,LAL,LAL @ MIA,12/28/2022,L,98,37,77,48.1,13,36,36.1,11,15,73.3,8,36,44,25,2,4,26,16,-14
1422,MIL,MIL @ CHI,12/28/2022,L,113,41,110,37.3,9,44,20.5,22,32,68.8,22,39,61,18,7,6,14,21,-6
1423,CHI,CHI vs. MIL,12/28/2022,W,119,42,92,45.7,9,23,39.1,26,30,86.7,7,45,52,21,5,10,14,23,6
1424,GSW,GSW vs. UTA,12/28/2022,W,112,37,87,42.5,16,45,35.6,22,27,81.5,10,41,51,22,6,3,13,26,5
1425,UTA,UTA @ GSW,12/28/2022,L,107,37,91,40.7,15,46,32.6,18,26,69.2,10,40,50,26,3,6,12,22,-5
1426,DEN,DEN @ SAC,12/28/2022,L,126,49,85,57.6,12,27,44.4,16,18,88.9,7,27,34,31,6,8,16,24,-1
1427,SAC,SAC vs. DEN,12/28/2022,W,127,47,89,52.8,14,31,45.2,19,25,76.0,11,23,34,32,10,6,12,17,1
1428,BKN,BKN @ ATL,12/28/2022,W,108,42,83,50.6,10,26,38.5,14,17,82.4,5,42,47,22,0,13,12,18,1
1429,ATL,ATL vs. BKN,12/28/2022,L,107,42,97,43.3,8,22,36.4,15,22,68.2,11,36,47,22,5,6,4,14,-1
1430,WAS,WAS vs. PHX,12/28/2022,W,127,47,82,57.3,8,26,30.8,25,28,89.3,12,34,46,27,7,6,13,15,25
1431,PHX,PHX @ WAS,12/28/2022,L,102,39,87,44.8,13,31,41.9,11,16,68.8,11,19,30,25,7,4,11,21,-25
1432,ORL,ORL vs. LAL,12/27/2022,L,110,42,84,50.0,10,28,35.7,16,25,64.0,8,29,37,25,8,5,11,17,-19
1433,LAL,LAL @ ORL,12/27/2022,W,129,49,90,54.4,17,43,39.5,14,17,82.4,9,37,46,32,4,2,14,16,19
1434,MEM,MEM vs. PHX,12/27/2022,L,108,36,91,39.6,8,30,26.7,28,34,82.4,15,25,40,18,9,6,15,23,-17
1435,PHX,PHX @ MEM,12/27/2022,W,125,43,87,49.4,17,31,54.8,22,25,88.0,15,32,47,26,7,9,22,23,17
1436,HOU,HOU @ BOS,12/27/2022,L,102,38,95,40.0,14,45,31.1,12,14,85.7,13,36,49,24,5,2,15,16,-24
1437,ATL,ATL @ IND,12/27/2022,L,114,40,89,44.9,12,30,40.0,22,29,75.9,9,33,42,26,4,3,9,19,-15
1438,IND,IND vs. ATL,12/27/2022,W,129,47,92,51.1,13,35,37.1,22,27,81.5,7,42,49,28,3,2,13,16,15
1439,GSW,GSW vs. CHA,12/27/2022,W,110,41,95,43.2,8,37,21.6,20,24,83.3,9,40,49,31,3,2,14,22,5
1440,CHA,CHA @ GSW,12/27/2022,L,105,38,92,41.3,10,38,26.3,19,25,76.0,9,38,47,22,6,7,14,20,-5
1441,DAL,DAL vs. NYK,12/27/2022,W,126,44,90,48.9,13,46,28.3,25,33,75.8,7,40,47,20,4,5,9,25,5
1442,NYK,NYK @ DAL,12/27/2022,L,121,45,103,43.7,16,50,32.0,15,24,62.5,17,38,55,27,5,0,10,23,-5
1443,SAC,SAC vs. DEN,12/27/2022,L,106,40,82,48.8,10,35,28.6,16,19,84.2,8,31,39,20,8,2,16,18,-7
1444,BOS,BOS vs. HOU,12/27/2022,W,126,43,91,47.3,20,56,35.7,20,23,87.0,9,40,49,32,8,5,11,14,24
1445,DEN,DEN @ SAC,12/27/2022,W,113,41,86,47.7,13,37,35.1,18,21,85.7,10,30,40,34,12,3,13,18,7
1446,PHI,PHI @ WAS,12/27/2022,L,111,39,84,46.4,6,31,19.4,27,31,87.1,10,29,39,21,8,10,16,24,-5
1447,WAS,WAS vs. PHI,12/27/2022,W,116,39,85,45.9,11,33,33.3,27,31,87.1,14,25,39,18,7,8,18,23,5
1448,TOR,TOR vs. LAC,12/27/2022,L,113,43,84,51.2,6,23,26.1,21,26,80.8,10,29,39,24,6,4,12,16,-11
1449,LAC,LAC @ TOR,12/27/2022,W,124,45,93,48.4,15,38,39.5,19,23,82.6,15,32,47,27,8,3,11,17,11
1450,OKC,OKC vs. SAS,12/27/2022,W,130,46,86,53.5,13,24,54.2,25,31,80.6,13,32,45,25,10,10,14,18,16
1451,SAS,SAS @ OKC,12/27/2022,L,114,46,99,46.5,10,29,34.5,12,14,85.7,16,25,41,20,9,4,15,21,-16
1452,DET,DET vs. LAC,12/26/2022,L,131,44,100,44.0,16,34,47.1,27,34,79.4,16,29,45,32,10,4,18,23,-11
1453,IND,IND @ NOP,12/26/2022,L,93,35,83,42.2,9,35,25.7,14,20,70.0,6,30,36,23,9,5,13,18,-20
1454,NOP,NOP vs. IND,12/26/2022,W,113,41,90,45.6,12,40,30.0,19,24,79.2,16,38,54,30,10,6,16,19,20
1455,MIN,MIN @ MIA,12/26/2022,L,110,43,79,54.4,15,34,44.1,9,14,64.3,8,36,44,31,4,3,22,14,-3
1456,MIA,MIA vs. MIN,12/26/2022,W,113,47,102,46.1,13,49,26.5,6,8,75.0,13,27,40,27,9,3,10,17,3
1457,CHI,CHI vs. HOU,12/26/2022,L,118,45,92,48.9,13,35,37.1,15,21,71.4,8,27,35,27,6,2,8,19,-15
1458,HOU,HOU @ CHI,12/26/2022,W,133,50,90,55.6,17,44,38.6,16,22,72.7,8,37,45,28,7,5,13,15,15
1459,CHA,CHA @ POR,12/26/2022,L,113,41,103,39.8,12,36,33.3,19,25,76.0,18,27,45,25,8,3,13,21,-11
1460,LAC,LAC @ DET,12/26/2022,W,142,49,91,53.8,19,44,43.2,25,29,86.2,10,38,48,25,13,3,19,24,11
1461,SAS,SAS vs. UTA,12/26/2022,W,126,48,87,55.2,6,18,33.3,24,34,70.6,6,35,41,27,11,8,14,25,4
1462,UTA,UTA @ SAS,12/26/2022,L,122,39,97,40.2,13,43,30.2,31,37,83.8,16,29,45,20,10,3,12,22,-4
1463,BKN,BKN @ CLE,12/26/2022,W,125,47,82,57.3,18,30,60.0,13,17,76.5,7,31,38,27,7,4,17,25,8
1464,CLE,CLE vs. BKN,12/26/2022,L,117,39,82,47.6,13,36,36.1,26,30,86.7,10,23,33,21,8,3,12,14,-8
1465,POR,POR vs. CHA,12/26/2022,W,124,43,86,50.0,14,38,36.8,24,28,85.7,10,40,50,28,8,9,15,20,11
1466,BOS,BOS vs. MIL,12/25/2022,W,139,50,85,58.8,19,39,48.7,20,25,80.0,5,30,35,29,9,1,12,18,21
1467,MIL,MIL @ BOS,12/25/2022,L,118,42,84,50.0,13,36,36.1,21,27,77.8,8,31,39,22,8,1,15,16,-21
1468,DEN,DEN vs. PHX,12/25/2022,W,128,45,94,47.9,13,36,36.1,25,34,73.5,12,36,48,29,8,4,13,23,3
1469,PHX,PHX @ DEN,12/25/2022,L,125,45,94,47.9,17,35,48.6,18,26,69.2,12,34,46,32,7,9,14,30,-3
1470,GSW,GSW vs. MEM,12/25/2022,W,123,43,91,47.3,18,44,40.9,19,26,73.1,9,42,51,31,6,5,12,18,14
1471,MEM,MEM @ GSW,12/25/2022,L,109,39,94,41.5,9,39,23.1,22,30,73.3,9,35,44,19,5,6,13,23,-14
1472,LAL,LAL @ DAL,12/25/2022,L,115,39,80,48.8,9,28,32.1,28,32,87.5,6,29,35,18,5,2,10,23,-9
1473,DAL,DAL vs. LAL,12/25/2022,W,124,44,84,52.4,18,44,40.9,18,25,72.0,11,27,38,31,6,3,11,26,9
1474,NYK,NYK vs. PHI,12/25/2022,L,112,43,90,47.8,12,32,37.5,14,17,82.4,12,34,46,30,4,6,8,19,-7
1475,PHI,PHI @ NYK,12/25/2022,W,119,39,77,50.6,18,39,46.2,23,29,79.3,5,27,32,22,5,2,8,19,7
1476,WAS,WAS @ SAC,12/23/2022,W,125,49,88,55.7,10,32,31.3,17,24,70.8,5,35,40,30,9,4,10,23,14
1477,SAC,SAC vs. WAS,12/23/2022,L,111,37,84,44.0,10,32,31.3,27,35,77.1,13,34,47,19,5,2,13,20,-14
1478,HOU,HOU vs. DAL,12/23/2022,L,106,37,81,45.7,8,26,30.8,24,28,85.7,12,33,45,26,9,3,15,21,-6
1479,DAL,DAL @ HOU,12/23/2022,W,112,36,80,45.0,16,44,36.4,24,27,88.9,7,27,34,20,10,7,14,21,6
1480,IND,IND @ MIA,12/23/2022,W,111,40,83,48.2,21,47,44.7,10,14,71.4,9,34,43,26,5,6,16,23,3
1481,DET,DET @ ATL,12/23/2022,L,105,37,90,41.1,9,33,27.3,22,29,75.9,9,34,43,17,7,3,14,19,-25
1482,MIN,MIN @ BOS,12/23/2022,L,109,44,91,48.4,10,32,31.3,11,15,73.3,11,34,45,25,3,8,17,18,-12
1483,BOS,BOS vs. MIN,12/23/2022,W,121,44,100,44.0,13,46,28.3,20,26,76.9,20,33,53,28,9,6,12,16,12
1484,CHI,CHI @ NYK,12/23/2022,W,118,45,93,48.4,14,31,45.2,14,18,77.8,11,30,41,24,6,4,4,22,1
1485,BKN,BKN vs. MIL,12/23/2022,W,118,46,93,49.5,14,32,43.8,12,13,92.3,12,33,45,30,11,2,12,18,18
1486,NOP,NOP @ OKC,12/23/2022,W,128,41,94,43.6,13,37,35.1,33,40,82.5,13,42,55,30,10,4,21,21,3
1487,OKC,OKC vs. NOP,12/23/2022,L,125,47,102,46.1,13,35,37.1,18,25,72.0,10,37,47,27,9,5,18,26,-3
1488,NYK,NYK vs. CHI,12/23/2022,L,117,43,86,50.0,16,35,45.7,15,26,57.7,12,35,47,23,2,4,10,17,-1
1489,ATL,ATL vs. DET,12/23/2022,W,130,49,92,53.3,12,34,35.3,20,24,83.3,8,40,48,30,10,8,8,20,25
1490,TOR,TOR @ CLE,12/23/2022,W,118,42,84,50.0,19,37,51.4,15,18,83.3,11,34,45,25,10,2,19,20,11
1491,CLE,CLE vs. TOR,12/23/2022,L,107,39,76,51.3,11,33,33.3,18,30,60.0,6,29,35,27,9,4,15,17,-11
1492,MIA,MIA vs. IND,12/23/2022,L,108,41,95,43.2,13,33,39.4,13,14,92.9,13,25,38,23,7,3,10,13,-3
1493,MIL,MIL @ BKN,12/23/2022,L,100,37,84,44.0,9,37,24.3,17,22,77.3,13,32,45,17,7,1,18,13,-18
1494,POR,POR @ DEN,12/23/2022,L,107,39,87,44.8,9,35,25.7,20,26,76.9,13,30,43,24,5,3,14,21,-13
1495,DEN,DEN vs. POR,12/23/2022,W,120,47,81,58.0,10,21,47.6,16,26,61.5,4,34,38,31,9,2,11,19,13
1496,MEM,MEM @ PHX,12/23/2022,W,125,45,91,49.5,7,23,30.4,28,38,73.7,19,34,53,30,11,5,12,22,25
1497,ORL,ORL vs. SAS,12/23/2022,W,133,50,87,57.5,17,32,53.1,16,20,80.0,7,37,44,30,8,2,19,15,20
1498,PHX,PHX vs. MEM,12/23/2022,L,100,38,87,43.7,9,35,25.7,15,26,57.7,11,24,35,23,6,5,15,26,-25
1499,SAS,SAS @ ORL,12/23/2022,L,113,44,97,45.4,12,38,31.6,13,18,72.2,13,25,38,28,10,6,13,18,-20
1500,CHA,CHA @ LAL,12/23/2022,W,134,52,94,55.3,16,41,39.0,14,18,77.8,11,30,41,30,11,5,16,21,4
1501,LAL,LAL vs. CHA,12/23/2022,L,130,48,92,52.2,19,44,43.2,15,22,68.2,12,30,42,27,5,1,17,19,-4
1502,LAC,LAC @ PHI,12/23/2022,L,114,41,81,50.6,14,38,36.8,18,23,78.3,6,27,33,25,5,9,11,16,-5
1503,PHI,PHI vs. LAC,12/23/2022,W,119,47,88,53.4,12,29,41.4,13,14,92.9,6,33,39,31,7,3,9,20,5
1504,NOP,NOP vs. SAS,12/22/2022,W,126,44,91,48.4,13,34,38.2,25,27,92.6,16,30,46,25,10,6,17,24,9
1505,UTA,UTA vs. WAS,12/22/2022,W,120,42,86,48.8,16,35,45.7,20,21,95.2,8,32,40,16,5,3,11,16,8
1506,WAS,WAS @ UTA,12/22/2022,L,112,46,82,56.1,7,21,33.3,13,17,76.5,3,34,37,20,5,2,11,15,-8
1507,SAS,SAS @ NOP,12/22/2022,L,117,43,90,47.8,9,28,32.1,22,27,81.5,14,30,44,23,8,2,17,24,-9
1508,MIN,MIN vs. DAL,12/21/2022,L,99,42,85,49.4,8,30,26.7,7,10,70.0,8,31,39,23,7,4,13,24,-5
1509,LAL,LAL @ SAC,12/21/2022,L,120,42,84,50.0,11,24,45.8,25,30,83.3,5,34,39,25,6,5,15,24,-14
1510,NYK,NYK vs. TOR,12/21/2022,L,106,42,76,55.3,11,26,42.3,11,18,61.1,9,29,38,25,2,3,17,19,-7
1511,DAL,DAL @ MIN,12/21/2022,W,104,34,75,45.3,13,39,33.3,23,27,85.2,7,32,39,17,6,3,13,12,5
1512,DET,DET @ PHI,12/21/2022,L,93,31,79,39.2,6,23,26.1,25,34,73.5,11,35,46,15,6,1,22,15,-20
1513,PHI,PHI vs. DET,12/21/2022,W,113,41,93,44.1,11,37,29.7,20,22,90.9,13,36,49,27,8,7,12,23,20
1514,TOR,TOR @ NYK,12/21/2022,W,113,42,94,44.7,9,34,26.5,20,22,90.9,16,22,38,17,7,4,5,16,7
1515,MIL,MIL @ CLE,12/21/2022,L,106,39,83,47.0,13,30,43.3,15,22,68.2,13,33,46,20,7,5,21,23,-8
1516,CHI,CHI @ ATL,12/21/2022,W,110,43,86,50.0,7,24,29.2,17,22,77.3,8,39,47,20,9,4,11,15,2
1517,ATL,ATL vs. CHI,12/21/2022,L,108,39,91,42.9,14,37,37.8,16,16,100.0,9,38,47,22,6,7,15,15,-2
1518,CLE,CLE vs. MIL,12/21/2022,W,114,41,85,48.2,10,32,31.3,22,28,78.6,9,28,37,22,8,3,10,21,8
1519,LAC,LAC vs. CHA,12/21/2022,W,126,41,81,50.6,23,49,46.9,21,23,91.3,5,43,48,29,6,7,27,22,21
1520,CHA,CHA @ LAC,12/21/2022,L,105,37,92,40.2,9,31,29.0,22,29,75.9,11,29,40,25,15,2,15,18,-21
1521,OKC,OKC vs. POR,12/21/2022,W,101,36,77,46.8,8,24,33.3,21,25,84.0,9,28,37,19,9,3,18,16,3
1522,POR,POR @ OKC,12/21/2022,L,98,39,79,49.4,14,36,38.9,6,9,66.7,9,27,36,29,9,5,20,22,-3
1523,BOS,BOS vs. IND,12/21/2022,L,112,39,101,38.6,13,41,31.7,21,25,84.0,25,37,62,26,11,5,17,9,-5
1524,IND,IND @ BOS,12/21/2022,W,117,46,98,46.9,18,39,46.2,7,9,77.8,12,35,47,27,10,3,14,22,5
1525,GSW,GSW @ BKN,12/21/2022,L,113,41,83,49.4,12,33,36.4,19,25,76.0,9,27,36,32,6,1,21,14,-30
1526,ORL,ORL @ HOU,12/21/2022,W,116,41,91,45.1,11,37,29.7,23,33,69.7,11,34,45,19,11,6,11,18,6
1527,HOU,HOU vs. ORL,12/21/2022,L,110,41,88,46.6,17,43,39.5,11,17,64.7,9,40,49,22,6,4,17,23,-6
1528,BKN,BKN vs. GSW,12/21/2022,W,143,54,84,64.3,21,33,63.6,14,16,87.5,3,29,32,42,10,4,15,23,30
1529,SAC,SAC vs. LAL,12/21/2022,W,134,48,95,50.5,17,47,36.2,21,28,75.0,10,36,46,29,6,2,12,23,14
1530,NYK,NYK vs. GSW,12/20/2022,W,132,45,87,51.7,17,40,42.5,25,32,78.1,14,33,47,27,8,1,12,15,38
1531,GSW,GSW @ NYK,12/20/2022,L,94,35,74,47.3,12,35,34.3,12,13,92.3,4,25,29,23,3,2,20,22,-38
1532,DET,DET vs. UTA,12/20/2022,L,111,41,81,50.6,9,25,36.0,20,27,74.1,9,34,43,22,6,1,14,19,-15
1533,WAS,WAS @ PHX,12/20/2022,W,113,38,80,47.5,11,27,40.7,26,37,70.3,9,32,41,22,9,4,10,14,3
1534,PHX,PHX vs. WAS,12/20/2022,L,110,41,89,46.1,13,32,40.6,15,19,78.9,15,29,44,26,2,1,14,23,-3
1535,UTA,UTA @ DET,12/20/2022,W,126,47,93,50.5,20,46,43.5,12,19,63.2,12,31,43,27,7,5,12,22,15
1536,DEN,DEN vs. MEM,12/20/2022,W,105,40,89,44.9,10,27,37.0,15,25,60.0,13,35,48,28,9,5,17,19,14
1537,CHI,CHI @ MIA,12/20/2022,W,113,40,73,54.8,13,31,41.9,20,24,83.3,5,34,39,24,7,0,17,16,10
1538,MIA,MIA vs. CHI,12/20/2022,L,103,38,81,46.9,15,44,34.1,12,17,70.6,9,26,35,26,9,0,13,16,-10
1539,MEM,MEM @ DEN,12/20/2022,L,91,36,81,44.4,5,26,19.2,14,21,66.7,7,35,42,25,11,7,16,21,-14
1540,UTA,UTA @ CLE,12/19/2022,L,99,36,93,38.7,10,34,29.4,17,23,73.9,15,20,35,19,9,2,14,22,-23
1541,SAS,SAS @ HOU,12/19/2022,W,124,46,83,55.4,17,34,50.0,15,19,78.9,9,37,46,30,6,6,19,23,19
1542,HOU,HOU vs. SAS,12/19/2022,L,105,40,94,42.6,5,24,20.8,20,31,64.5,16,25,41,23,13,3,11,16,-19
1543,ATL,ATL vs. ORL,12/19/2022,W,126,48,94,51.1,12,32,37.5,18,20,90.0,6,35,41,29,7,3,10,18,1
1544,MIL,MIL @ NOP,12/19/2022,W,128,45,81,55.6,13,40,32.5,25,31,80.6,8,36,44,26,8,6,18,21,9
1545,NOP,NOP vs. MIL,12/19/2022,L,119,42,99,42.4,18,45,40.0,17,24,70.8,17,27,44,30,9,0,15,20,-9
1546,SAC,SAC vs. CHA,12/19/2022,L,119,45,95,47.4,12,33,36.4,17,31,54.8,10,32,42,23,8,2,8,23,-6
1547,OKC,OKC vs. POR,12/19/2022,W,123,40,88,45.5,11,31,35.5,32,37,86.5,11,28,39,20,7,5,12,21,2
1548,ORL,ORL @ ATL,12/19/2022,L,125,45,95,47.4,12,34,35.3,23,25,92.0,10,35,45,29,8,8,8,17,-1
1549,CHA,CHA @ SAC,12/19/2022,W,125,49,95,51.6,10,31,32.3,17,23,73.9,11,45,56,26,4,7,14,25,6
1550,PHX,PHX vs. LAL,12/19/2022,W,130,46,93,49.5,20,39,51.3,18,24,75.0,15,36,51,21,10,5,9,16,26
1551,LAL,LAL @ PHX,12/19/2022,L,104,39,87,44.8,12,28,42.9,14,17,82.4,10,28,38,13,5,5,15,16,-26
1552,CLE,CLE vs. UTA,12/19/2022,W,122,43,70,61.4,15,26,57.7,21,26,80.8,4,41,45,24,5,4,23,20,23
1553,POR,POR @ OKC,12/19/2022,L,121,44,88,50.0,16,37,43.2,17,21,81.0,14,31,45,26,5,2,16,28,-2
1554,TOR,TOR @ PHI,12/19/2022,L,101,37,88,42.0,11,40,27.5,16,20,80.0,9,41,50,24,6,3,16,20,-3
1555,PHI,PHI vs. TOR,12/19/2022,W,104,32,80,40.0,15,42,35.7,25,27,92.6,4,37,41,22,8,1,16,21,3
1556,DAL,DAL @ MIN,12/19/2022,L,106,31,76,40.8,19,45,42.2,25,31,80.6,8,34,42,23,5,5,16,23,-10
1557,MIN,MIN vs. DAL,12/19/2022,W,116,42,89,47.2,12,31,38.7,20,24,83.3,9,35,44,19,5,4,11,24,10
1558,IND,IND vs. NYK,12/18/2022,L,106,39,90,43.3,13,38,34.2,15,23,65.2,12,32,44,20,5,3,15,28,-3
1559,NYK,NYK @ IND,12/18/2022,W,109,39,83,47.0,8,26,30.8,23,30,76.7,14,35,49,13,7,9,16,21,3
1560,CHA,CHA @ DEN,12/18/2022,L,115,41,96,42.7,12,38,31.6,21,23,91.3,12,36,48,26,7,7,11,26,-4
1561,TOR,TOR vs. GSW,12/18/2022,L,110,40,95,42.1,13,33,39.4,17,22,77.3,18,25,43,21,6,2,14,22,-16
1562,GSW,GSW @ TOR,12/18/2022,W,126,43,81,53.1,18,39,46.2,22,26,84.6,12,29,41,31,6,2,17,21,16
1563,DEN,DEN vs. CHA,12/18/2022,W,119,43,94,45.7,11,33,33.3,22,34,64.7,15,40,55,33,6,3,14,17,4
1564,BKN,BKN @ DET,12/18/2022,W,124,44,80,55.0,15,29,51.7,21,23,91.3,4,31,35,26,5,8,13,24,3
1565,CHI,CHI @ MIN,12/18/2022,L,126,46,88,52.3,16,38,42.1,18,24,75.0,6,24,30,31,6,1,11,16,-24
1566,MIN,MIN vs. CHI,12/18/2022,W,150,57,87,65.5,23,43,53.5,13,16,81.3,4,35,39,38,5,5,13,21,24
1567,BOS,BOS vs. ORL,12/18/2022,L,92,31,89,34.8,12,47,25.5,18,21,85.7,11,43,54,22,7,7,17,17,-3
1568,ORL,ORL @ BOS,12/18/2022,W,95,33,86,38.4,12,29,41.4,17,19,89.5,6,40,46,20,9,3,13,18,3
1569,LAL,LAL vs. WAS,12/18/2022,W,119,46,92,50.0,11,27,40.7,16,22,72.7,6,37,43,29,4,5,9,18,2
1570,WAS,WAS @ LAL,12/18/2022,L,117,44,95,46.3,10,39,25.6,19,24,79.2,10,38,48,24,5,6,10,20,-2
1571,DET,DET vs. BKN,12/18/2022,L,121,42,88,47.7,8,30,26.7,29,34,85.3,11,30,41,20,9,2,9,19,-3
1572,MIA,MIA @ SAS,12/17/2022,W,111,42,82,51.2,11,30,36.7,16,23,69.6,8,32,40,25,14,3,14,27,10
1573,HOU,HOU vs. POR,12/17/2022,L,95,36,90,40.0,3,29,10.3,20,29,69.0,18,33,51,19,7,6,17,18,-12
1574,POR,POR @ HOU,12/17/2022,W,107,40,85,47.1,13,36,36.1,14,19,73.7,10,26,36,20,8,4,14,20,12
1575,PHX,PHX vs. NOP,12/17/2022,W,118,39,83,47.0,15,41,36.6,25,35,71.4,10,25,35,23,6,3,8,13,4
1576,LAC,LAC vs. WAS,12/17/2022,W,102,37,86,43.0,12,29,41.4,16,26,61.5,12,37,49,19,6,5,14,16,9
1577,WAS,WAS @ LAC,12/17/2022,L,93,36,84,42.9,9,25,36.0,12,13,92.3,7,35,42,20,10,2,16,21,-9
1578,OKC,OKC vs. MEM,12/17/2022,W,115,38,92,41.3,19,45,42.2,20,31,64.5,9,44,53,29,7,0,10,25,6
1579,MEM,MEM @ OKC,12/17/2022,L,109,34,90,37.8,12,45,26.7,29,37,78.4,10,43,53,15,5,5,10,20,-6
1580,NOP,NOP @ PHX,12/17/2022,L,114,45,77,58.4,14,30,46.7,10,13,76.9,4,32,36,27,2,5,17,27,-4
1581,DAL,DAL @ CLE,12/17/2022,L,99,36,88,40.9,15,49,30.6,12,19,63.2,5,40,45,19,5,6,12,20,-1
1582,UTA,UTA @ MIL,12/17/2022,L,97,39,86,45.3,16,47,34.0,3,6,50.0,7,22,29,24,5,2,14,13,-26
1583,MIL,MIL vs. UTA,12/17/2022,W,123,48,90,53.3,18,38,47.4,9,11,81.8,15,39,54,30,5,3,15,13,26
1584,CLE,CLE vs. DAL,12/17/2022,W,100,40,94,42.6,7,36,19.4,13,22,59.1,9,42,51,23,6,5,13,24,1
1585,SAS,SAS vs. MIA,12/17/2022,L,101,33,77,42.9,10,27,37.0,25,33,75.8,7,31,38,29,8,3,17,19,-10
1586,ORL,ORL @ BOS,12/16/2022,W,117,42,91,46.2,9,33,27.3,24,28,85.7,15,38,53,19,7,1,18,26,8
1587,LAL,LAL vs. DEN,12/16/2022,W,126,48,91,52.7,12,33,36.4,18,24,75.0,11,34,45,29,11,4,15,21,18
1588,DEN,DEN @ LAL,12/16/2022,L,108,39,81,48.1,9,27,33.3,21,28,75.0,9,30,39,25,7,4,19,17,-18
1589,MIN,MIN @ OKC,12/16/2022,W,112,43,87,49.4,12,25,48.0,14,25,56.0,11,32,43,23,16,6,16,18,2
